asset,entry_time_utc,exit_time_utc,side,entry_px,exit_px,holding_days,ecdf,signed_vpin,d25,vpin
arbusdt,2025-08-19T07:30:00,2025-08-20T01:09:00,-1,0.4886,0.478,0.7354166666666667,0.8857142857142857,-0.037764376300357144,-0.0020570620474444634,0.15648257352361233
linkusdt,2025-08-19T10:00:00,2025-08-19T16:37:00,-1,24.304,24.166,0.27569444444444446,0.8869459129727532,-0.014228936651630915,-0.02476072591093581,0.1659199735230133
linkusdt,2025-08-19T21:34:00,2025-08-20T08:43:00,-1,23.909,24.897,0.46458333333333335,0.8891566265060241,-0.057913471022553765,-0.0016134440445234322,0.16678123433449976
linkusdt,2025-08-20T17:36:00,2025-08-21T01:49:00,1,25.921,26.297,0.3423611111111111,0.8933160285528877,0.0007061742509057138,0.011873230179679256,0.16695849844725616
linkusdt,2025-08-21T02:02:00,2025-08-21T11:00:00,-1,26.437,26.015,0.3736111111111111,0.802439024390244,-0.01982453597257628,-0.005208292329051428,0.1542492511204563
linkusdt,2025-08-21T11:04:00,2025-08-21T16:56:00,-1,26.041,24.923,0.24444444444444444,0.8064844246662428,-0.03232204050307707,-0.011419021428803994,0.15599943288714224
linkusdt,2025-08-21T19:13:00,2025-08-22T09:35:00,-1,25.052,24.765,0.5986111111111111,0.8545866935483871,-0.019025815826718428,-0.001386029363720509,0.16248972763885183
arbusdt,2025-08-22T03:14:00,2025-08-22T14:34:00,-1,0.5051,0.5392,0.4722222222222222,0.8159323116219668,-0.033829366863942716,-0.0019679170804394464,0.14876913159764896
avaxusdt,2025-08-22T19:21:00,2025-08-23T13:40:00,1,25.011,26.212,0.7631944444444444,0.8061434725604045,0.014092248733611777,0.01572180536003058,0.12213102642784651
linkusdt,2025-08-22T19:29:00,2025-08-23T07:29:00,1,27.142,25.824,0.5,0.8304029304029305,0.001051263794533285,0.007247882847750464,0.1590635985789758
arbusdt,2025-08-23T07:21:00,2025-08-23T23:51:00,-1,0.5882,0.6134,0.6875,0.970970206264324,-0.0030429049443913623,-0.0004828662890049018,0.17253448414018943
linkusdt,2025-08-23T08:24:00,2025-08-24T00:36:00,-1,25.671,26.274,0.675,0.8367149758454107,-0.024425665354438214,-0.00014333660487564348,0.15969539480653178
avaxusdt,2025-08-23T13:44:00,2025-08-24T11:25:00,1,26.243,25.013,0.9034722222222222,0.9826343986698688,0.01476385195483354,0.0006471535046244092,0.142066754394358
linkusdt,2025-08-24T01:11:00,2025-08-24T17:36:00,1,25.926,25.959,0.6840277777777778,0.8201628352490421,0.004978422421351839,0.006576119550060988,0.1587866472605006
avaxusdt,2025-08-24T11:50:00,2025-08-25T02:12:00,-1,25.052,25.724,0.5986111111111111,0.9377055169894044,-0.033528219711221795,-0.005562394406584015,0.13623554411711958
arbusdt,2025-08-24T15:41:00,2025-08-25T03:14:00,-1,0.5875,0.5835,0.48125,0.9955330553901132,-0.05750196549468244,-0.00018666229775698984,0.20244378508039176
linkusdt,2025-08-24T20:07:00,2025-08-25T07:09:00,-1,25.632,25.472,0.4597222222222222,0.8195870206489676,-0.029016122669808794,-0.0009598278984902786,0.15867500128350046
avaxusdt,2025-08-25T02:23:00,2025-08-25T20:37:00,-1,25.84,23.351,0.7597222222222222,0.9338500360490267,-0.009812817795335254,-0.011884627535090259,0.13785903879743247
arbusdt,2025-08-25T03:30:00,2025-08-25T19:54:00,-1,0.5803,0.525,0.6833333333333333,0.8216279753158977,-0.03229751443698469,-0.013291512723023285,0.15427388504087658
arbusdt,2025-08-25T21:02:00,2025-08-26T15:44:00,-1,0.5124,0.5322,0.7791666666666667,0.9802984209763871,-0.06984464897318236,-0.00022534647560334964,0.18231990677401108
avaxusdt,2025-08-28T00:33:00,2025-08-29T01:59:00,-1,24.324,24.739,1.0597222222222222,0.8483312947754674,-0.030589050010556004,-0.000829450624541761,0.12902885452496476
linkusdt,2025-08-28T21:05:00,2025-08-29T08:36:00,-1,24.606,23.426,0.4798611111111111,0.940683572216097,-0.03857588023269805,-0.0035658020622603703,0.17387910305059676
arbusdt,2025-08-29T02:46:00,2025-08-30T01:16:00,-1,0.5127,0.4869,0.9375,0.8806138251443052,-0.02155472738345925,-0.0005059905182075997,0.16385828188365173
