asset,slice,feature,target,n,rho,p
arbusdt,oos_all,accel,fret,15094,-0.004290358778662645,0.5981504428619207
arbusdt,oos_all,ar1_resid,fret,15094,-0.022200652263985616,0.0063791111208504475
arbusdt,oos_all,delta_5,signed_fret,15094,0.08189985023186715,6.903266305662677e-24
arbusdt,oos_all,delta_25,signed_fret,15094,0.13500080334547143,2.525112599994619e-62
arbusdt,oos_all,accel,signed_fret,15094,0.006460196866234457,0.42741255216295715
arbusdt,oos_all,ar1_resid,signed_fret,15094,0.03149898891140598,0.00010859839485507528
arbusdt,high_vpin,delta_5,fret,3941,-0.025462965629802985,0.1099872576569104
arbusdt,high_vpin,delta_25,fret,3941,-0.026298602120506775,0.09879592310634795
arbusdt,high_vpin,accel,fret,3941,-0.012920272777272696,0.41743603792744266
arbusdt,high_vpin,ar1_resid,fret,3941,8.403863367760931e-05,0.9957919348166528
arbusdt,high_vpin,delta_5,signed_fret,3941,0.06276995641615019,8.041084152308434e-05
arbusdt,high_vpin,delta_25,signed_fret,3941,0.07794476809841058,9.629096301095761e-07
arbusdt,high_vpin,accel,signed_fret,3941,0.0159632382946011,0.31640335047845297
arbusdt,high_vpin,ar1_resid,signed_fret,3941,0.018299418560781197,0.2507533952217557
arbusdt,buy_dom,delta_5,fret,412,0.16406207236536743,0.0008298081833551314
arbusdt,buy_dom,delta_25,fret,412,0.1817145726128861,0.0002088087706971878
arbusdt,buy_dom,accel,fret,412,0.013775765750724584,0.7804127473527479
arbusdt,buy_dom,ar1_resid,fret,412,0.10326513600314903,0.036145261339675834
arbusdt,buy_dom,delta_5,signed_fret,412,0.16406207236536743,0.0008298081833551314
arbusdt,buy_dom,delta_25,signed_fret,412,0.1817145726128861,0.0002088087706971878
arbusdt,buy_dom,accel,signed_fret,412,0.013775765750724584,0.7804127473527479
arbusdt,buy_dom,ar1_resid,signed_fret,412,0.10326513600314903,0.036145261339675834
arbusdt,sell_dom,delta_5,fret,3529,-0.05166926218532788,0.002137750978164932
arbusdt,sell_dom,delta_25,fret,3529,-0.05893625086027726,0.0004601609400018773
arbusdt,sell_dom,accel,fret,3529,-0.016520029911659833,0.32654439405195745
arbusdt,sell_dom,ar1_resid,fret,3529,-0.012193669696302851,0.4689798101977972
arbusdt,sell_dom,delta_5,signed_fret,3529,0.05166926218532788,0.002137750978164932
arbusdt,sell_dom,delta_25,signed_fret,3529,0.05893625086027726,0.0004601609400018773
arbusdt,sell_dom,accel,signed_fret,3529,0.016520029911659833,0.32654439405195745
arbusdt,sell_dom,ar1_resid,signed_fret,3529,0.012193669696302851,0.4689798101977972
arbusdt,delta5_conditional,rising_buy,fret,232,0.019093216786572224,3.0811844346339483
arbusdt,delta5_conditional,rising_sell,fret,1738,-0.018914898193312105,-11.179042533435467
arbusdt,delta5_conditional,falling_buy,fret,180,-0.009861757313224438,-1.5773080475529782
arbusdt,delta5_conditional,falling_sell,fret,1791,-0.011617233926404163,-6.818084512858392
opusdt,oos_all,delta_5,fret,13155,-0.012009727134378865,0.16839559276238178
opusdt,oos_all,delta_25,fret,13155,-0.035973937813757566,3.6755295355911233e-05
opusdt,oos_all,accel,fret,13155,-0.0020003500331861926,0.8185509859482354
opusdt,oos_all,ar1_resid,fret,13155,-0.010324101269512994,0.23639549152063724
opusdt,oos_all,delta_5,signed_fret,13155,0.019452825329202537,0.025671478375549433
opusdt,oos_all,delta_25,signed_fret,13155,0.03922284683046426,6.796043560099917e-06
opusdt,oos_all,accel,signed_fret,13155,0.003913502455744534,0.6535620858628791
opusdt,oos_all,ar1_resid,signed_fret,13155,0.015134396587234788,0.08260312573716833
opusdt,high_vpin,delta_5,fret,3391,0.035751259309081074,0.03736295899654942
opusdt,high_vpin,delta_25,fret,3391,0.049072010365806856,0.004259925230007075
opusdt,high_vpin,accel,fret,3391,0.0020594126143547438,0.9045780237474016
opusdt,high_vpin,ar1_resid,fret,3391,0.020003453763235354,0.24420765777149858
opusdt,high_vpin,delta_5,signed_fret,3391,-0.034407948547002846,0.045122762951956955
opusdt,high_vpin,delta_25,signed_fret,3391,-0.020839973688140806,0.2250366261700566
opusdt,high_vpin,accel,signed_fret,3391,-0.011924877227606032,0.48756832367072644
opusdt,high_vpin,ar1_resid,signed_fret,3391,-0.012177944738676335,0.47837754649983844
opusdt,buy_dom,delta_5,fret,123,0.036817531052095294,0.6859964561573537
opusdt,buy_dom,delta_25,fret,123,0.4062310559647109,3.1319981677872185e-06
opusdt,buy_dom,accel,fret,123,-0.11332886200358566,0.21200550228507917
opusdt,buy_dom,ar1_resid,fret,123,0.1003082637912577,0.2696363201438008
opusdt,buy_dom,delta_5,signed_fret,123,0.036817531052095294,0.6859964561573537
opusdt,buy_dom,delta_25,signed_fret,123,0.4062310559647109,3.1319981677872185e-06
opusdt,buy_dom,accel,signed_fret,123,-0.11332886200358566,0.21200550228507917
opusdt,buy_dom,ar1_resid,signed_fret,123,0.1003082637912577,0.2696363201438008
opusdt,sell_dom,delta_5,fret,3268,0.0359850744922589,0.03968456967685572
opusdt,sell_dom,delta_25,fret,3268,0.03442612761225333,0.049085417320869074
opusdt,sell_dom,accel,fret,3268,0.007843179601108011,0.6540074970668156
opusdt,sell_dom,ar1_resid,fret,3268,0.01667282175762685,0.3406776376538201
opusdt,sell_dom,delta_5,signed_fret,3268,-0.0359850744922589,0.03968456967685572
