sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,holding,grade
0.1167,0.2037,-0.4282,-0.7695,100,1.0275,0.5111,0.9828,0.000985,1.017,0.0554,0.25,0.2552,-0.4474,180,0.000985,0.09296,0.1422,0.8871085,ARB,4h,DualMom_126,3d,D
0.9673,1.7381,1.095,-0.5549,43,1.4149,0.5455,1.1791,0.017036,1.5185,0.0237,0.1914,0.105,1.0227,77,0.017036,0.126858,1.1784,0.24232011,ARB,4h,DualMom_126,1w,C
-0.3821,-0.6364,-0.8416,-0.6989,294,0.9482,0.4628,1.1004,-0.001053,1.0401,0.1666,0.3692,2.1184,-0.513,296,-0.001053,0.052669,-0.344,0.73106598,RENDER,4h,EWMAC_8_32,1d,F
-0.2925,-0.6363,-0.8704,-0.7224,97,0.9268,0.4082,1.3439,-0.002895,0.9549,0.0551,2.1813,11.1146,-0.5523,98,-0.002895,0.108797,-0.2634,0.79279383,RENDER,4h,EWMAC_8_32,3d,F
1.3781,2.6963,2.4661,-0.6045,22,1.7216,0.5238,1.5651,0.026471,1.3833,0.0236,0.8716,2.2091,1.0958,42,0.026471,0.138246,1.2409,0.22168886,RENDER,4h,EWMAC_8_32,1w,C
0.6266,1.0083,0.2933,-0.4653,230,1.0913,0.4932,1.1212,0.001725,1.0454,0.1666,0.2164,2.0834,0.1093,296,0.001725,0.052598,0.5642,0.5730262,RENDER,4h,EWMAC_16_64,1d,C
1.0932,2.363,2.0793,-0.457,34,1.3297,0.5204,1.2254,0.010757,1.1086,0.0551,1.9801,10.3532,0.7187,98,0.010757,0.10817,0.9844,0.32735367,RENDER,4h,EWMAC_16_64,3d,C
-0.1446,-0.2687,-0.7211,-0.6439,32,0.9449,0.4286,1.2599,-0.002833,1.1332,0.0236,1.0741,2.7428,-0.3972,42,-0.002833,0.141002,-0.1302,0.89702151,RENDER,4h,EWMAC_16_64,1w,F
0.0199,0.0332,-0.6292,-0.6076,257,1.0028,0.4561,1.1959,5.5e-05,1.0156,0.1666,0.341,2.0912,-0.3234,296,5.5e-05,0.052659,0.0179,0.98570164,RENDER,4h,DualMom_63,1d,D
0.481,0.9538,-0.0989,-0.6833,63,1.1333,0.4796,1.2298,0.004755,1.0716,0.0551,1.8978,10.6132,-0.0551,98,0.004755,0.10866,0.4332,0.66585168,RENDER,4h,DualMom_63,3d,D
0.9338,1.7372,1.1949,-0.5096,26,1.4435,0.5238,1.3123,0.018123,1.1351,0.0236,0.9248,2.2776,0.4705,42,0.018123,0.13968,0.8408,0.4053159,RENDER,4h,DualMom_63,1w,C
0.301,0.4687,-0.3704,-0.497,231,1.0429,0.4899,1.086,0.000829,1.0695,0.1666,0.042,2.1161,-0.1521,296,0.000829,0.052637,0.2711,0.78653113,RENDER,4h,DualMom_126,1d,D
-0.8163,-0.9738,-1.0,-0.8515,76,0.8086,0.4388,1.0342,-0.008062,1.07,0.0551,-1.8293,10.5706,-0.787,98,-0.008062,0.108582,-0.735,0.46410361,RENDER,4h,DualMom_126,3d,F
-0.8384,-1.0104,-1.0325,-0.7412,20,0.7189,0.5238,0.6535,-0.016328,0.9069,0.0236,-0.8656,2.3686,-0.6912,42,-0.016328,0.140159,-0.755,0.45456867,RENDER,4h,DualMom_126,1w,F
-1.3119,-1.878,-0.9521,-0.9323,427,0.8252,0.4767,0.9057,-0.004152,0.7374,0.1664,0.3272,3.9513,-0.9241,430,-0.004152,0.060435,-1.4246,0.15500225,TIA,4h,EWMAC_8_32,1d,F
0.0326,0.0521,-0.7011,-0.6154,142,1.0076,0.5455,0.8397,0.000294,0.8325,0.0553,0.0407,0.6987,-0.4861,143,0.000294,0.099127,0.0354,0.97179949,TIA,4h,EWMAC_8_32,3d,D
-0.0495,-0.093,-0.4408,-0.808,60,0.9831,0.4262,1.3234,-0.00086,1.2081,0.0236,0.2941,-0.4124,-0.405,61,-0.00086,0.124946,-0.0538,0.95729706,TIA,4h,EWMAC_8_32,1w,F
-0.2177,-0.3271,-0.7364,-0.8139,427,0.9687,0.4907,1.0054,-0.00069,0.9185,0.1664,0.442,3.853,-0.6598,430,-0.00069,0.060516,-0.2364,0.81327183,TIA,4h,EWMAC_16_64,1d,F
0.1705,0.269,-0.4633,-0.7301,142,1.0406,0.5455,0.8671,0.001534,1.0858,0.0553,0.0281,0.6986,-0.3855,143,0.001534,0.099103,0.1852,0.85337144,TIA,4h,EWMAC_16_64,3d,D
0.4963,0.9141,0.0758,-0.6985,55,1.1862,0.5082,1.1479,0.008596,1.2339,0.0236,0.1335,-0.4574,0.0627,61,0.008596,0.124571,0.539,0.5919126,TIA,4h,EWMAC_16_64,1w,D
-1.3108,-1.7996,-0.9533,-0.9339,427,0.8272,0.4698,0.9336,-0.004158,0.9185,0.1664,-0.3124,3.6907,-0.9262,430,-0.004158,0.060576,-1.4234,0.15534604,TIA,4h,DualMom_63,1d,F
-0.7342,-0.9972,-0.88,-0.8663,142,0.8425,0.5315,0.7427,-0.006598,0.7404,0.0553,-0.598,0.5693,-0.8163,143,-0.006598,0.098976,-0.7972,0.42666944,TIA,4h,DualMom_63,3d,F
-0.2657,-0.4277,-0.6614,-0.724,56,0.9126,0.4918,0.943,-0.004613,0.7195,0.0236,-0.1078,-0.4244,-0.5363,61,-0.004613,0.124893,-0.2885,0.77395749,TIA,4h,DualMom_63,1w,F
-0.9567,-1.4128,-0.9062,-0.9161,399,0.8693,0.4791,0.9453,-0.00303,0.8366,0.1664,0.4042,3.9249,-0.8764,430,-0.00303,0.060483,-1.0388,0.29948398,TIA,4h,DualMom_126,1d,F
-1.2034,-1.9309,-0.9318,-0.9152,131,0.7554,0.4545,0.9065,-0.01078,0.8577,0.0553,0.2061,0.7968,-0.8955,143,-0.01078,0.098649,-1.3067,0.19341625,TIA,4h,DualMom_126,3d,F
0.3523,0.6263,-0.1226,-0.6376,60,1.1289,0.541,0.9579,0.00611,1.2081,0.0236,0.0681,-0.4294,-0.0915,61,0.00611,0.124741,0.3825,0.70341933,TIA,4h,DualMom_126,1w,D
-0.6455,-1.0377,-0.7329,-0.9578,762,0.914,0.4673,1.042,-0.001835,1.0226,0.1666,0.1942,1.4497,-0.9205,764,-0.001835,0.054322,-0.9337,0.35074037,INJ,4h,EWMAC_8_32,1d,F
-0.8898,-1.5314,-0.7919,-0.9649,253,0.8158,0.4409,1.0344,-0.007507,0.9767,0.0554,0.2388,0.096,-0.9513,254,-0.007507,0.092958,-1.2871,0.19923357,INJ,4h,EWMAC_8_32,3d,F
-0.3906,-0.5594,-0.6632,-0.9446,107,0.8686,0.4679,0.9879,-0.007669,1.0328,0.0238,-0.4685,1.3751,-0.8726,109,-0.007669,0.141703,-0.565,0.57324698,INJ,4h,EWMAC_8_32,1w,F
-0.1707,-0.2842,-0.5692,-0.896,692,0.9765,0.4817,1.0508,-0.000485,1.093,0.1666,0.3074,1.4257,-0.7752,764,-0.000485,0.054326,-0.2469,0.80501659,INJ,4h,EWMAC_16_64,1d,F
-0.245,-0.4554,-0.5938,-0.9073,230,0.9455,0.4409,1.1988,-0.002072,1.1355,0.0554,0.3615,0.0453,-0.8019,254,-0.002072,0.09318,-0.3544,0.72337146,INJ,4h,EWMAC_16_64,3d,F
-0.7547,-1.1376,-0.766,-0.9658,99,0.7618,0.422,1.0433,-0.014762,1.0011,0.0238,-0.1854,1.4128,-0.9402,109,-0.014762,0.141186,-1.0916,0.27741972,INJ,4h,EWMAC_16_64,1w,F
-1.194,-1.8887,-0.8547,-0.9845,691,0.8469,0.4613,0.9888,-0.003483,1.0064,0.1664,0.1667,1.4122,-0.9788,763,-0.003483,0.055705,-1.7271,0.08455564,INJ,4h,DualMom_63,1d,F
